Index,Challenge,Answer in Latex,Answer in Sympy,Variation,Source
1,Compute the first 5 nonzero terms (not necessarily a quadratic polynomial) of the Maclaurin series of $ f(x) = e^{\sin(x)} $,1+x+\frac{x^2}{2}-\frac{x^4}{8}-\frac{x^5}{15}+\cdots,-x**5/15 - x**4/8 + x**2/2 + x + 1,Original,"U-Math
sequences_series
1ccc052c-9604-4459-a752-98ebdf3e0764"
2,Find the (infinite) power series of $f(x) \cdot g(x)$ for given $f(x) = \sum_{n=1}^\infty \left(n \cdot x^n\right)$ and $g(x) = \sum_{n=1}^\infty \left(n \cdot x^n\right)$,\sum_{n=2}^\infty\left(\frac{1}{6}\cdot n\cdot\left(n^2-1\right)\cdot x^n\right),"Sum(n*x**n*(n**2 - 1), (n, 2, oo))/6",Original,"U-Math
sequences_series
fb6418ae-3440-4258-9388-89d799fd859a"
3,Compute the first 6 nonzero terms of the Maclaurin series of $f(x) = \sin(x) \cdot \cos\left(\frac{ \pi }{ 4 }\right) + \cos(x) \cdot \sin\left(\frac{ \pi }{ 4 }\right)$,\frac{1}{34560\cdot\sqrt{2}}\cdot\left(288\cdot x^5+1440\cdot x^4-5760\cdot x^3-17280\cdot x^2+34560\cdot x+34560\right),sqrt(2)*(x**5 + 5*x**4 - 20*x**3 - 60*x**2 + 120*x + 120)/240,Original,"U-Math
sequences_series
f89bd354-18c9-4f31-b91f-cf6421e24921"
4,Compute the first 4 nonzero terms of the Maclaurin series of $f(x) = e^x \cdot \cos(x)$,1+x-\frac{x^3}{3}-\frac{x^4}{6},-x**4/6 - x**3/3 + x + 1,Original,"U-Math
sequences_series
d1fe21df-ee7f-40c2-9655-6bd6a7a23ff1"
5,Compute $\lim_{x \to 0}\left(\frac{ 2 \cdot \cos(x)+4 }{ 5 \cdot x^3 \cdot \sin(x) }-\frac{ 6 }{ 5 \cdot x^4 }\right)$,\frac{1}{150},1/150,Original,"U-Math
sequences_series
068e40ce-9108-4ef8-8ee5-0d1471ebbe43"
6,Evaluate $\lim_{x \to 0^{+}}\left(\left(\frac{ \tan\left(\frac{ x }{ 2 }\right) }{ \frac{ x }{ 2 } }\right)^{\frac{ 3 }{ x^2 }}\right)$,$e^{\frac{1}{4}}$,exp(1/4),Original,"U-Math
differential_calc
363dd580-f1fc-4867-a6ef-db2a03139745"
7,"Evaluate
$ \lim_{x \to 5} \left( \frac{ 3 \cdot x }{ x-5 }-\frac{ 3 }{ \ln\left(\frac{ x }{ 5 }\right) } \right) $",\frac{3}{2},3/2,Original,"U-Math
differential_calc
2d799998-115a-489b-a48b-57090954303e"
8,"Evaluate
$ \lim_{x \to \infty} \left(x - x^2 \cdot \ln\left(1 + \frac{ 1 }{ x }\right)\right) $",\frac{1}{2},1/2,Original,"U-Math
differential_calc
efdc4110-cf56-4f37-bf54-40fdd5d58145"
9,"Evaluate
$ \lim_{x \to 0^{+}} \left( \left( \frac{ \tan(2 \cdot x) }{ 2 \cdot x } \right)^{\frac{ 1 }{ 3 \cdot x^2 }} \right) $",e^{\frac{4}{9}},e**(4/9),Original,"U-Math
differential_calc
99a2304d-5d8e-4245-90da-a80651ca15d8"
10,"Evaluate
$ \lim_{x \to 0}\left( \left| \frac{ -\sin(x) }{ x } \right| \right)^{\frac{ 1 }{ 4 \cdot x^2 }} $",e^{\frac{-1}{24}},e**(-1/24),Original,"U-Math
differential_calc
84c6a419-c103-41d5-aad5-dd8e690c6e88"
