Index,Challenge,Answer in Latex,Answer in Sympy,Variation,Source,Category
1,Compute the first 5 nonzero terms of the Maclaurin series of $ e^{\sin(x)} $,1+x+\frac{x^2}{2}-\frac{x^4}{8}-\frac{x^5}{15}+\cdots,-x**5/15 - x**4/8 + x**2/2 + x + 1,Original,"U-Math
sequences_series
1ccc052c-9604-4459-a752-98ebdf3e0764",Series
2,"Find the radius of convergence of the series:
$ \sum_{n=1}^\infty \left(\frac{ \left((2 \cdot n)!\right) \cdot x^n }{ n^{2 \cdot n} }\right) $",\frac{e^2}{4},E**2 / 4,Original,"U-Math
sequences_series
ca5ffe7c-f495-43dc-a653-de477cabc185",Series
3,Compute the first 6 nonzero terms of the Maclaurin series of $f(x) = \sin(x) \cdot \cos\left(\frac{ \pi }{ 4 }\right) + \cos(x) \cdot \sin\left(\frac{ \pi }{ 4 }\right)$,\frac{1}{34560\cdot\sqrt{2}}\cdot\left(288\cdot x^5+1440\cdot x^4-5760\cdot x^3-17280\cdot x^2+34560\cdot x+34560\right),sqrt(2)*(x**5 + 5*x**4 - 20*x**3 - 60*x**2 + 120*x + 120)/240,Original,"U-Math
sequences_series
f89bd354-18c9-4f31-b91f-cf6421e24921",Series
4,Compute the first 4 nonzero terms of the Maclaurin series of $f(x) = e^x \cdot \cos(x)$,1+x-\frac{x^3}{3}-\frac{x^4}{6},-x**4/6 - x**3/3 + x + 1,Original,"U-Math
sequences_series
d1fe21df-ee7f-40c2-9655-6bd6a7a23ff1",Series
5,Compute $\lim_{x \to 0}\left(\frac{ 2 \cdot \cos(x)+4 }{ 5 \cdot x^3 \cdot \sin(x) }-\frac{ 6 }{ 5 \cdot x^4 }\right)$,\frac{1}{150},1/150,Original,"U-Math
sequences_series
068e40ce-9108-4ef8-8ee5-0d1471ebbe43",Limits
6,Evaluate $\lim_{x \to 0^{+}}\left(\left(\frac{ \tan\left(\frac{ x }{ 2 }\right) }{ \frac{ x }{ 2 } }\right)^{\frac{ 3 }{ x^2 }}\right)$,$e^{\frac{1}{4}}$,exp(1/4),Original,"U-Math
differential_calc
363dd580-f1fc-4867-a6ef-db2a03139745",Limits
7,"Evaluate
$ \lim_{x \to 5} \left( \frac{ 3 \cdot x }{ x-5 }-\frac{ 3 }{ \ln\left(\frac{ x }{ 5 }\right) } \right) $",\frac{3}{2},3/2,Original,"U-Math
differential_calc
2d799998-115a-489b-a48b-57090954303e",Limits
8,"Evaluate
$ \lim_{x \to \infty} \left(x - x^2 \cdot \ln\left(1 + \frac{ 1 }{ x }\right)\right) $",\frac{1}{2},1/2,Original,"U-Math
differential_calc
efdc4110-cf56-4f37-bf54-40fdd5d58145",Limits
9,"Evaluate
$ \lim_{x \to 0^{+}} \left( \left( \frac{ \tan(2 \cdot x) }{ 2 \cdot x } \right)^{\frac{ 1 }{ 3 \cdot x^2 }} \right) $",e^{\frac{4}{9}},e**(4/9),Original,"U-Math
differential_calc
99a2304d-5d8e-4245-90da-a80651ca15d8",Limits
10,"Evaluate
$ \lim_{x \to 0}\left( \left| \frac{ -\sin(x) }{ x } \right| \right)^{\frac{ 1 }{ 4 \cdot x^2 }} $",e^{\frac{-1}{24}},e**(-1/24),Original,"U-Math
differential_calc
84c6a419-c103-41d5-aad5-dd8e690c6e88",Limits
11,"Integrate 
$ \int \sin(x)^4 \cdot \cos(x)^6 dx $",$C+\frac{1}{320}\cdot\left(\sin(2\cdot x)\right)^5+\frac{1}{128}\cdot\left(\frac{3\cdot x}{2}-\frac{\sin(4\cdot x)}{2}+\frac{\sin(8\cdot x)}{16}\right)$,3*x/256 + sin(2*x)**5/320 - sin(4*x)/256 + sin(8*x)/2048,Original,"U-Math
integral_calc
0c0ba3db-1470-4c36-975c-91ff5f51986f",Integrals
12,"Calculate the integral:
$
\int \frac{ \sqrt[5]{x}+\sqrt[5]{x^4}+x \cdot \sqrt[5]{x} }{ x \cdot \left(1+\sqrt[5]{x^2}\right) }   dx
$",C+5\cdot\arctan\left(\sqrt[5]{x}\right)+\frac{5}{4}\cdot\sqrt[5]{x}^4,C + 5*x**(4/5)/4 + 5*atan(x**(1/5)),Original,"U-Math
integral_calc
126c4165-b3d5-4470-8412-08e79d9821cf",Integrals
13,"Solve the integral:
$
\int \frac{ 1 }{ \sin(x)^7 \cdot \cos(x) }   dx
$",C+\ln\left(\left|\tan(x)\right|\right)-\frac{3}{2\cdot\left(\tan(x)\right)^2}-\frac{3}{4\cdot\left(\tan(x)\right)^4}-\frac{1}{6\cdot\left(\tan(x)\right)^6},C + log(Abs(tan(x))) - 3 / (2 * tan(x)**2) - 3 / (4 * tan(x)**4) - 1 / (6 * tan(x)**6),Original,"U-Math
integral_calc
00f6affb-905a-4109-a78e-2dde7a0b83accf",Integrals
14,"Compute the integral:
$
-2 \cdot \int x^{-4} \cdot \left(4+x^2\right)^{\frac{ 1 }{ 2 }}   dx
$",C+\frac{1}{6}\cdot\left(\frac{4}{x^2}+1\right)\cdot\sqrt{\frac{4}{x^2}+1},(C*x**2 + sqrt((x**2 + 4)/x**2)*(x**2 + 4)/6)/x**2,Original,"U-Math
integral_calc
05ea9929-8cbb-432b-bbbb-ec1e74c9f401",Integrals
15,"Solve the integral:
$
\int \left(\frac{ x+4 }{ x-4 } \right)^{\frac{ 3 }{ 2 }}   dx
$",C+\sqrt{\frac{x+4}{x-4}}\cdot(x-20)-12\cdot\ln\left(\left|\frac{\sqrt{x-4}-\sqrt{x+4}}{\sqrt{x-4}+\sqrt{x+4}}\right|\right),C + sqrt((x + 4)/(x - 4)) * (x - 20) - 12 * log(Abs((sqrt(x - 4) - sqrt(x + 4)) / (sqrt(x - 4) + sqrt(x + 4)))),Original,"U-Math
integral_calc
08c72d46-1abd-49e1-9c9c-ce509902be6e",Integrals
16,Compute the integral: $ \int \frac{ -1 }{ x^2 \cdot \left(3+x^3\right)^{\frac{ 5 }{ 3 }} }   dx $,\frac{1}{9}\cdot\sqrt[3]{1+\frac{3}{x^3}}+\frac{1}{18\cdot\left(1+\frac{3}{x^3}\right)^{\frac{2}{3}}},(x**3 + 2)/(6*x**3*(1 + 3/x**3)**(2/3)),Original,"U-Math
integral_calc
4c1292e1-d4b3-4acf-afaf-eaac62f2662d",Integrals
17,"Compute the integral:
$ \int \frac{ 4 \cdot x+\sqrt{4 \cdot x-5} }{ 5 \cdot \sqrt[4]{4 \cdot x-5}+\sqrt[4]{(4 \cdot x-5)^3} }   dx $",C+25\cdot\sqrt[4]{4\cdot x-5}+\frac{1}{5}\cdot\sqrt[4]{4\cdot x-5}^5-\frac{4}{3}\cdot\sqrt[4]{4\cdot x-5}^3-\frac{125}{\sqrt{5}}\cdot\arctan\left(\frac{1}{\sqrt{5}}\cdot\sqrt[4]{4\cdot x-5}\right),C + (4*x - 5)**(5/4)/5 - 4*(4*x - 5)**(3/4)/3 + 25*(4*x - 5)**(1/4) - 25*sqrt(5)*atan(sqrt(5)*(4*x - 5)**(1/4)/5),Original,"U-Math
integral_calc
147944c5-b782-48c5-a664-d66deb92d9a7",Integrals
18,"Solve the integral:
$
\int \frac{ 3 }{ \sin(2 \cdot x)^7 \cdot \cos(-2 \cdot x) }   dx
$",C+\frac{3}{2}\cdot\left(\ln\left(\left|\tan(2\cdot x)\right|\right)-\frac{3}{2\cdot\left(\tan(2\cdot x)\right)^2}-\frac{3}{4\cdot\left(\tan(2\cdot x)\right)^4}-\frac{1}{6\cdot\left(\tan(2\cdot x)\right)^6}\right),"C + (3/2) * (log(Abs(tan(2*x))) - 3/(2 * tan(2*x)**2) - 3/(4 * tan(2*x)**4) - 1/(6 * tan(2*x)**6)
)",Original,"U-Math
integral_calc
1db212f0-2fac-410d-969d-fe3b5b55d076",Integrals
